scan_id,frame_idx,pts_time,tile,yavg,ymax,ymin,satavg,red_ratio
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,187,7.48,0,60.0,60.0,60.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,188,7.52,0,60.0,60.0,60.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,189,7.56,0,61.0,61.0,61.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,190,7.6,0,62.0,62.0,62.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,191,7.64,0,65.0,65.0,65.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,192,7.68,0,69.0,69.0,69.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,193,7.72,0,73.0,73.0,73.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,194,7.76,0,78.0,78.0,78.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,195,7.8,0,84.0,84.0,84.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,196,7.84,0,91.0,91.0,91.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,197,7.88,0,97.0,97.0,97.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,198,7.92,0,105.0,105.0,105.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,199,7.96,0,112.0,112.0,112.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,200,8.0,0,119.0,119.0,119.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,201,8.04,0,127.0,127.0,127.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,202,8.08,0,134.0,134.0,134.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,203,8.12,0,142.0,142.0,142.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,204,8.16,0,148.0,148.0,148.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,205,8.2,0,155.0,155.0,155.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,206,8.24,0,161.0,161.0,161.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,207,8.28,0,166.0,166.0,166.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,208,8.32,0,170.0,170.0,170.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,209,8.36,0,174.0,174.0,174.0,0.0,0.5019607843137255
0e403ae2-2ca4-45be-8270-5b2cddc5d9e7,210,8.4,0,177.0,177.0,177.0,0.0,0.5019607843137255
